"url","Name","Name_link","Country","Capacity","Status","Type","Owner","Operator","Connection"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fessenheim 2","http://www.world-nuclear.org/reactor/default.aspx/FESSENHEIM-2","France","880 MWe","OPERABLE","Pressurised Water Reactor","EDF","EDF","7 October 1977"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fitzpatrick","http://www.world-nuclear.org/reactor/default.aspx/FITZPATRICK","United States Of America","813 MWe","OPERABLE","Boiling Water Reactor","Entergy Nuclear Operations, Inc.","Entergy Nuclear Operations, Inc.","1 February 1975"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Flamanville 1","http://www.world-nuclear.org/reactor/default.aspx/FLAMANVILLE-1","France","1330 MWe","OPERABLE","Pressurised Water Reactor","EDF","EDF","4 December 1985"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Flamanville 2","http://www.world-nuclear.org/reactor/default.aspx/FLAMANVILLE-2","France","1330 MWe","OPERABLE","Pressurised Water Reactor","EDF","EDF","18 July 1986"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Flamanville 3","http://www.world-nuclear.org/reactor/default.aspx/FLAMANVILLE-3","France","1,6 GWe","UNDER CONSTRUCTION","Pressurised Water Reactor","EDF","EDF",""
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Forsmark 1","http://www.world-nuclear.org/reactor/default.aspx/FORSMARK-1","Sweden","984 MWe","OPERABLE","Boiling Water Reactor","Forsmark Kraftgrupp AB","Forsmark Kraftgrupp AB","6 June 1980"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Forsmark 2","http://www.world-nuclear.org/reactor/default.aspx/FORSMARK-2","Sweden","1120 MWe","OPERABLE","Boiling Water Reactor","Forsmark Kraftgrupp AB","Forsmark Kraftgrupp AB","26 January 1981"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Forsmark 3","http://www.world-nuclear.org/reactor/default.aspx/FORSMARK-3","Sweden","1167 MWe","OPERABLE","Boiling Water Reactor","Forsmark Kraftgrupp AB","Forsmark Kraftgrupp AB","5 March 1985"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fort Calhoun 1","http://www.world-nuclear.org/reactor/default.aspx/FORT%20CALHOUN-1","United States Of America","482 MWe","PERMANENT SHUTDOWN","Pressurised Water Reactor","Omaha Public Power District","Exelon Generation Co., Llc","25 August 1973"
"http://www.world-nuclear.org/information-library/facts-and-figures/reactor-database.aspx?source=%7B%22query%22%3A%7B%22match_all%22%3A%7B%7D%7D%2C%22size%22%3A%22700%22%2C%22sort%22%3A%5B%7B%22index.sort_name.exact%22%3A%7B%22order%22%3A%22asc%22%7D%7D%5D%7D","Fort St. Vrain","http://www.world-nuclear.org/reactor/default.aspx/FORT%20ST.%20VRAIN","United States Of America","330 MWe","PERMANENT SHUTDOWN","High Temperature Gas-Cooled Reactor","","Public Service Co. Of Colorado","11 December 1976"
